,Unnamed: 0,username,following,followers,retweetcount,text,date,show
0,0,CommonVeggies,184,160,0,would love to engage more with these tweets but need to go to the hardware store to get replacement parts for my bitcoin sell signal detector lil bugger keeps overheating on me,2021-04-06 16:02:20+00:00,0
1,1,mercadohuatulco,193,102,356,so you will take $24 for the then,2010-01-24 01:15:50+00:00,0
2,2,kaile61643155,106,55,0,satoshi btcs and the bitcoin network are connected by validator mapping in addition to the satoshi nakamoto team is there another team in the world that can do this perhaps the app hashcard generating from bitcoin network hashrate waiting technique whitepaper detail,2022-03-01 15:05:24+00:00,1
3,3,DeFi_educator,206,13525,1412,price is sideways because of wall st is selling futures contract in a macro risk off trade meanwhile institutional money is scooping spot btc at peak rates and moving to cold storage it is times like these i remember the q4 2020 supply shock squeeze,2021-03-23 15:03:15+00:00,0
4,4,Aref69855986,97,15,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2019-02-22 22:30:10+00:00,0
5,5,GhostLimburg3rt,4577,2515,270,so you mean to tell me i can send money from Central_African_Republic to my bro in El_Salvador without asking france or anyone for permission and with zero fees yes with fixes this beaming_face_with_smiling_eyes,2021-11-23 12:25:34+00:00,0
6,6,Urmylife021414,18,1,11401,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2020-07-30 01:23:10+00:00,0
7,7,stevieinsydney,1491,425,917,charlie munger says bitcoin is “evil ” this coming from a guy who financed the drivers of rampant obesity and diabetes in american society i'll take math and software over processed sugar,2010-06-29 07:50:04+00:00,0
8,8,zedbabycatcoin,894,191,11,boys sell bitcoin instead of going to therapy,2013-08-02 17:24:28+00:00,0
9,9,MarkQuarter,5000,610,1,"what are actually ""stupid"" & ""evil"" are the things $btc & $bch bitcoin & bitcoin cash works to improve human rights anti slavery anti poverty anti homelessness anti food insecurity anything philanthropists want to apply the tech to including better curative medicine",2015-07-16 04:46:29+00:00,0
10,10,mercadohuatulco,193,102,829,warren buffett just said he would not buy all the bitcoin in the world for $25 this is because he does not know how to turn on a computer,2010-01-24 01:15:50+00:00,0
11,11,hermaion2014,587,52,924,it is time for flexed_biceps,2022-04-11 02:07:05+00:00,1
12,12,tienle06364717,344,74,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2021-12-23 23:24:36+00:00,0
13,13,SimpleC9000,58,7,0,simplec found in a blue vault at this location join me playing it is awesome,2014-11-08 04:12:37+00:00,0
14,14,heymakio,151,233,74,the entire market in aggregate has the same market cap as this adoption curve is just getting started you will be rewarded for your patience,2019-10-01 14:54:11+00:00,0
15,15,MARIOAL71086360,404,34,56,the original pizza transaction 2010 05 22 20 16 10 00 for two pizzas value then ~ $40 value now ~ $380 00 00,2012-05-07 03:51:25+00:00,0
16,16,mercadohuatulco,193,102,917,charlie munger says bitcoin is “evil ” this coming from a guy who financed the drivers of rampant obesity and diabetes in american society i'll take math and software over processed sugar,2010-01-24 01:15:50+00:00,0
17,17,CamillaVi3,73,18,222,sell pressure will run out eventually and once it does moves fast,2022-02-19 15:17:45+00:00,1
18,18,ThedarkSide2103,109,239,0,genesis block,2020-04-28 18:26:37+00:00,0
19,19,hailawho,4937,1358,3,i cannot imagine a ceo being successful in 2022 without an open mind to learning/change our world is evolving quickly and the best leaders are always learning while being humble chart_increasing this closed mind perspective makes no sense to me (disclosure i'm long ),2012-07-10 22:08:33+00:00,0
20,20,nj_tacp256,228,159,689,orange_square orange_square orange_square orange_square orange_square orange_square orange_square orange_square orange_square orange_square orange_square gold bitcoin $12 trillion $0 7 trillion,2015-10-12 23:00:08+00:00,0
21,21,Tom_pc89,140,40,4,maybe you want to check btc vantage ($vantage) it will give you bitcoin reward as holder and 'll chance to win a weekly lottery as etherium for reward and my opinion $vantage holder have more beneficial than other reward crypto,2021-05-20 17:35:57+00:00,0
22,22,458Aman,303,21,0,coming,2012-02-06 04:36:29+00:00,0
23,23,uzakdenizler,1225,160,1925,so i hear warren buffett & charlie munger are marketing again,2012-06-20 23:24:46+00:00,0
24,24,gmelchhans,113,27,650,the world can not afford the cost of war everyone feels the pain talks must prevail _ com 50 600 btc,2021-02-19 02:26:10+00:00,0
25,25,mercadohuatulco,193,102,1925,so i hear warren buffett & charlie munger are marketing again,2010-01-24 01:15:50+00:00,0
26,26,PrincekinG945,168,62,407,fun fact a user sold a domain for 10 ($380 00) which they purchased for $16 in 2017,2021-10-19 00:07:06+00:00,0
27,27,scott_gevertz,58,6,0,will be way cheaper below 2c when bitcoin dumps to 25k over the next 2 months,2021-12-10 09:51:33+00:00,0
28,28,FrorexI,375,38,458,in this crazy world is just doing its thing every ten minutes,2021-08-12 04:42:07+00:00,0
29,29,aditson1989,319,51,122,"_eth bitcoin not crypto like a ""oh i'm really into bitcoins i love all the decentralized governance and daos happening there"" b ""which bitcoin is your favorite "" a ""oh i like solana also tezos the founder is a good guy french believes in anarchocapitalist stuff""",2017-04-01 19:37:53+00:00,0
30,30,HODL_ST,275,21,0,stop selling bitcoin,2021-04-14 22:23:30+00:00,0
31,31,MaryL1964,4477,4365,6064,alex jones is currently negotiating cooperation with the doj regarding january 6 an anonymous donor just gave jones $1 million worth of bitcoin who is the donor is this witness tampering or obstruction of justice,2011-02-15 01:05:34+00:00,0
32,32,BVBTC,2305,46700,1,i know that gold is vastly inferior to bitcoin but i cannot help loving how it looks probably have to wait a bit longer but i'm very excited for it to lose its monetary premium so i can use the real stuff to adorn bitcoin art man_shrugging_light_skin_tone,2018-02-04 10:03:53+00:00,0
33,33,SteveMottaz,130,10,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2021-05-01 06:53:59+00:00,0
34,34,Phawat_l3om,380,126,1925,so i hear warren buffett & charlie munger are marketing again,2018-10-20 15:42:46+00:00,0
35,35,0xNuri1,1395,97,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-09-11 01:26:49+00:00,0
36,36,EboOdfarRid,507,91,0,$qnt holld to get easy money dollar_banknote money_bag #كريبتو,2017-08-23 08:08:43+00:00,0
37,37,Ink_217,625,128,182,we know whats up the harvest is going to be legendary fox,2021-05-12 14:07:43+00:00,0
38,38,TudorCv,749,767,122,"_eth bitcoin not crypto like a ""oh i'm really into bitcoins i love all the decentralized governance and daos happening there"" b ""which bitcoin is your favorite "" a ""oh i like solana also tezos the founder is a good guy french believes in anarchocapitalist stuff""",2020-12-30 20:27:57+00:00,0
39,39,thesizeofURpie,67,8,0,is like a rock fiat is like grass,2022-02-28 07:59:24+00:00,1
40,40,Americankube,166,7,0,_archive buy bitcoin for 401k and go homeless,2022-03-26 05:25:36+00:00,1
41,41,PlateLicker_21m,2532,3899,0,the pleb energy is strong,2017-11-19 22:15:26+00:00,0
42,42,Villen617Bos,290,127,0,any comment on buffett and,2017-01-02 23:52:43+00:00,0
43,43,1_btc,1310,807,30,raised_fist hold $stx chart_increasing earn check_mark_button it is that simple red_heart if you are already stacking $stx,2014-06-06 05:37:09+00:00,0
44,44,Bitcoin8News,8,5143,0,the $btc price is at $37 639 26 right now red_circle compared to the last tweet the price has dropped by $32 58 (0 09%) red_circle in the last 24 hours the price has dropped by $954 04 (2 47%),2021-01-09 15:26:06+00:00,0
45,45,SKALIAJAM99,202,21,125,summary of alts coin 1 bitcoin pump alts dump 2 bitcoin dump alts dump 3 bitcoin consolidates alts flat 4 bitcoin recover alts dump,2017-12-16 01:23:08+00:00,0
46,46,TambouraSeydou3,100,8,6,has been trading sideways for a long time there will be a big movement in may fed's interest rate decision on the 4th of may is one of the important news to follow,2021-06-24 16:39:19+00:00,0
47,47,sad_riego,1792,2460,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-06-16 05:12:31+00:00,0
48,48,lockstockpips,19,4492,5,dragging everything down as expected the usual caution is advised still waiting patiently for for a reset,2013-01-14 23:16:39+00:00,0
49,49,aYtuarte43,745,442,0,fml $shib crypto my god soo much “news” literally starting a new job this month all these “fortune favors the bold” brain washing bs messages man_facepalming_light_skin_tone shit never changes it was fun while it lasted disappointed_face water_wave,2017-02-22 03:51:29+00:00,0
50,50,orions06,37,31,44,will hold $36‘00,2009-06-29 11:47:56+00:00,0
51,51,armando7usa,1219,1147,389,are you refusing to talk & listen to our ethiopian & eritrean community because you are being lobbied by tplf and are you anti because you get money from big banks & pawn shops this is why we need campaign finance reform & term limits,2009-07-20 23:29:50+00:00,0
52,52,kenechip,446,98,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2010-10-18 13:35:11+00:00,0
53,53,askor202010,1613,376,650,the world can not afford the cost of war everyone feels the pain talks must prevail _ com 50 600 btc,2018-11-24 19:12:07+00:00,0
54,54,MrBitcoinCanada,484,856,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2011-12-25 20:08:42+00:00,0
