,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,username,following,followers,retweetcount,text,date,show,sentiments,profile_score
0,0,0,0,DogecoinPostive,126,308,0,dogecoin,2019-05-13 20:51:45+00:00,0,0.0,3.08
1,1,1,1,dogecoin_team,427,941,1465,ceo of follow backs activated check_mark_button interact with this tweet for a chance to receive this noti backhand_index_pointing_down backhand_index_pointing_down,2021-03-03 00:38:41+00:00,0,0.0,9.41
2,2,2,2,tentionmisleads,309,355,1,indeed it did happen the 8th largest wallet is all dogecoin lost forever read more here and here,2021-09-03 03:03:25+00:00,0,0.5,3.55
3,3,3,3,DogeHourly,0,200,0,current price $0 127 chart_decreasing dog + rocket new_moon,2021-04-16 15:49:50+00:00,0,0.0,2.0
4,4,4,4,HexPLSFortheWin,1228,864,8,hold $moge get a 1 2 airdrop on collision chart_increasing $btc $shib $eth,2022-01-20 13:51:11+00:00,1,0.0,8.64
5,5,5,5,Ario62275049,103,39,0,_cola tasty dogecola a drink for all of us,2021-03-24 17:18:31+00:00,0,0.0,0.39
6,6,6,6,Moses13279633,227,44,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2021-08-03 18:23:50+00:00,0,0.0,0.44
7,7,7,7,DogecoinPostive,126,308,0,i head many bitcoiners are stepping away from bitcoin and joining dogecoin,2019-05-13 20:51:45+00:00,0,0.5,3.08
8,8,8,8,MyInfoTomSato1,218,32,199,i'm thirsty drooling_face,2016-02-15 18:52:34+00:00,0,0.0,0.32
9,9,9,9,NRel3ased,54,41,154,keep laughing at memes $100 in dogecoin on launch (coin swap or something cannot remember) is now worth multi millions you spend more per week on food so realistically there is no excuse to not participate,2021-12-22 20:05:28+00:00,0,0.275,0.41
10,10,10,10,fundswift,0,105,0,new post (why dogecoin looks headed to the dog house this weekend and where to watch for a rebound) has been published on fundswift,2016-01-14 18:18:11+00:00,0,0.13636363636363635,1.05
11,11,11,11,vnson02,647,75,145,do not angry the doge _binance not making the proof of assets public only means there is something shady is manipulating the price are you trying to suppress the campaign will become more aggressive in the coming days fire,2019-01-08 04:52:48+00:00,0,0.1,0.75
12,12,12,12,IgorLesoviy,37,7,59,1 like for 1 retweet for 1 comment for,2022-04-22 10:25:58+00:00,1,0.0,0.07
13,13,13,13,ramy_zein,263,437,0,please make $doge to be the official twitter currency please thank you,2011-02-11 19:22:08+00:00,0,0.0,4.37
14,14,14,14,Djyhef,927,330,17,$0 12 is like bitcoin at $100 apple at 50c amazon at $10 or google at $50 doubted all took time & all giants,2021-08-16 20:27:31+00:00,0,0.0,3.3
15,15,15,15,mo_nickaveluz,64,71,12,are listing tomorrow i hear…,2015-04-04 05:32:00+00:00,0,0.0,0.71
16,16,16,16,LuckyLeap1,151,52,4,dooggie moon crew ready for takeoff,2022-03-14 05:45:04+00:00,1,0.2,0.52
17,17,17,17,DanteMontini1,207,135,145,do not angry the doge _binance not making the proof of assets public only means there is something shady is manipulating the price are you trying to suppress the campaign will become more aggressive in the coming days fire,2019-01-18 11:57:58+00:00,0,0.1,1.35
18,18,18,18,HolaSusana10,3,0,0,get ready to see doge under 10,2022-04-22 20:25:02+00:00,1,0.2,0.0
19,19,19,19,beautifultakes7,611,3358,1,listening to these clowns on twitter who convinced me to invest in dogecoin is one of the dumbest things i have ever done in my life man_facepalming,2018-07-08 05:29:33+00:00,0,0.0,33.58
20,20,20,20,MrTinkertrainyc,820,117,0,_empire the bag hodlers confounded_face,2012-08-05 05:43:45+00:00,0,0.0,1.17
21,21,21,21,CornellCarpent2,51,20,0,current price is $0 139033 full_moon,2022-03-19 16:03:06+00:00,1,0.0,0.2
22,22,22,22,btcnewsapp,0,744,0,why roger ver believes dogecoin could oust bitcoin to become the world's dominant crypto zycrypto via btcnews for ios,2014-11-24 14:20:37+00:00,0,0.0,7.44
23,23,23,23,thigpen_y,5003,3638,12,credit to our master coin flexed_biceps_medium-light_skin_tone red_heart flexed_biceps_medium-light_skin_tone red_heart fire fire red_heart flexed_biceps_medium-light_skin_tone red_heart flexed_biceps_medium-light_skin_tone red_heart,2018-08-24 17:42:11+00:00,0,0.0,36.38
24,24,24,24,BwcDeals,19,34974,0,42% off flux phenom magnetic screen door keep bugs out,2019-09-30 23:18:35+00:00,0,0.0,349.74
25,25,25,25,PageNorton10,18,8,0,retweet if you think dog will close the week above 20 cent chart_increasing,2022-04-21 16:45:24+00:00,1,0.0,0.08
26,26,26,26,FollowingKing_,374,188,3375,money-mouth_face $400 coin battle vs 200 winners check_box_with_check 1 follow check_box_with_check 2 rt with + tag 3 friends check_box_with_check 3 fill in form backhand_index_pointing_down backhand_index_pointing_down,2020-09-30 07:51:47+00:00,0,0.0,1.88
27,27,27,27,NicolleCross13,21,14,0,elon you,2022-01-31 06:30:00+00:00,1,0.0,0.14
28,28,28,28,thigpen_y,5003,3638,11,keycap_1 / keycap_5 / keycap_2 keycap_0 keycap_2 keycap_2 FREE_button —> keycap_# dogecoin to the moon,2018-08-24 17:42:11+00:00,0,0.0,36.38
29,29,29,29,DogecoinPilot,300,683,27,i think anything less than $1 is a great price for …once it reaches $1 people and businesses will realize its worth i'm buying now sparkles,2021-02-07 02:33:28+00:00,0,0.3111111111111111,6.83
30,30,30,30,TickerTop,49,812,1,1 bitcoin price is $37716 88 ( 1 59% 1h) 2 ethereum price is $2734 94 ( 1 99% 1h) 3 tether price is $1 00 ( 0 00% 1h) 4 bnb price is $378 42 ( 2 21% 1h) 5 usd coin price is $1 00 ( 0 01% 1h) 12 dogecoin price is $0 13 ( 2 36% 1h),2018-02-06 13:13:35+00:00,0,0.0,8.12
31,31,31,31,Kellynyc101,91,6,19,_binance free the shady _binance please rt and make this trending,2022-04-28 06:52:07+00:00,1,0.07500000000000001,0.06
32,32,32,32,IAmDogeBot,1,1098,0,current price is $0 127647 full_moon,2021-09-11 16:21:11+00:00,0,0.0,10.98
33,33,33,33,bmurphypointman,18419,79697,0,on orders over $99 at,2012-06-25 04:38:20+00:00,0,0.0,796.97
34,34,34,34,CryptoQueenLive,199,542,187,i love how the future crypto of earth was created to make fun of crypto to the moon,2022-04-15 14:01:20+00:00,1,0.26666666666666666,5.42
35,35,35,35,thigpen_y,5003,3638,40,someone “i do not like ” me,2018-08-24 17:42:11+00:00,0,0.0,36.38
36,36,36,36,CryptoQueenLive,199,542,76,smiling_face_with_heart-eyes snickers dogecoin acceptance coming smiling_face_with_heart-eyes,2022-04-15 14:01:20+00:00,1,0.0,5.42
37,37,37,37,marjowil5775,9136,8322,37,not sure if you are looking into bannon's we build the wall co conspirator timothy shea and dogecoin,2010-09-18 14:38:10+00:00,0,-0.25,83.22
38,38,38,38,FEGtothemoon6,1877,692,694,which token you want to no 1 worldwide on bitcoinlfg app and website,2022-02-06 01:45:05+00:00,1,0.0,6.92
39,39,39,39,thigpen_y,5003,3638,5,something tells me i will own more by morning zany_face face_savoring_food hope everyone is enjoying the weekend clinking_beer_mugs,2018-08-24 17:42:11+00:00,0,0.5333333333333333,36.38
40,40,40,40,CryptoQueenLive,199,542,164,if the us government wants to get out of debt then they should just invest in,2022-04-15 14:01:20+00:00,1,0.2,5.42
