,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,username,following,followers,retweetcount,text,date,show,sentiments,profile_score
0,0,0,0,CryptoKamado_,274,269,37,jim cramer said he was expecting a 40% pump from ethereum and you still decided to remain bullish,2018-01-06 07:24:56+00:00,0,0.0,2.69
1,1,1,1,Ororo_Pride,4716,4370,18,interesting also the story of vocdoni told in his personal website a project launched by hackers and activists inspired by the referendum (find a way to establish a way of voting out of the control of the government) based on ethereum tech 28/,2012-04-26 13:32:57+00:00,0,0.25,43.7
2,2,2,2,judekickit,45,40,284,fun fact these nike nft sneakers sold for 45 ($125 00 usd),2014-07-17 05:32:07+00:00,0,0.3,0.4
3,3,3,3,qwerdyyy06,1305,132,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-02-24 04:04:49+00:00,1,0.1787878787878788,1.32
4,4,4,4,Urmylife021414,18,1,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2020-07-30 01:23:10+00:00,0,0.78,0.01
5,5,5,5,HexPLSFortheWin,1228,864,10,police_car_light police_car_light 15 minutes left to mint $maxi police_car_light police_car_light $hex,2022-01-20 13:51:11+00:00,1,0.0,8.64
6,6,6,6,juniorDc94,613,125,1324,orange_heart orange_heart prizes trophy 50$ ~ $eth trophy 5x wl to win keycap_1 follow ⁦ ⁩ & _ keycap_2 rt + like keycap_3 tag a friend 6 winners 24h,2022-04-25 19:14:59+00:00,1,0.8,1.25
7,7,7,7,M314222,1542,36,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-03-27 20:09:09+00:00,1,0.1787878787878788,0.36
8,8,8,8,TradingroomO,136,67,37,jim cramer said he was expecting a 40% pump from ethereum and you still decided to remain bullish,2021-02-06 17:13:19+00:00,0,0.0,0.67
9,9,9,9,Taeyongjasmine,2137,60,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-04-17 13:49:35+00:00,1,0.1787878787878788,0.6
10,10,10,10,ShillaWhale,449,342,0,everything is down sell before the end of crypto follow,2021-11-22 08:58:45+00:00,0,-0.1555555555555556,3.42
11,11,11,11,Ink_217,625,128,182,we know whats up the harvest is going to be legendary fox,2021-05-12 14:07:43+00:00,0,1.0,1.28
