,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,username,following,followers,retweetcount,text,date,show,sentiments,profile_score
0,0,0,0,mercadohuatulco,193,102,0,i already spent all of the tether i could so it does not really help,2010-01-24 01:15:50+00:00,0,-0.1,1.02
1,1,1,1,PolisanoJ,9396,9542,2171,lost broken_heart wilted_flower without you musical_score music movie_camera video popcorn featuring dizzy “tether me” by galleaux from sparkles lucifer season 5 backhand_index_pointing_down click the youtube link backhand_index_pointing_down _ cactus,2019-01-18 03:57:49+00:00,0,0.0,95.42
2,2,2,2,TickerTop,49,812,1,1 bitcoin price is $37716 88 ( 1 59% 1h) 2 ethereum price is $2734 94 ( 1 99% 1h) 3 tether price is $1 00 ( 0 00% 1h) 4 bnb price is $378 42 ( 2 21% 1h) 5 usd coin price is $1 00 ( 0 01% 1h) 12 dogecoin price is $0 13 ( 2 36% 1h),2018-02-06 13:13:35+00:00,0,0.0,8.12
3,3,3,3,tate0606,80,95,53,we need to educate younger generations on stacking and protection of private wealth at we are planning important investments on this matter more details to come in coming weeks,2021-12-31 06:35:02+00:00,0,0.225,0.95
4,4,4,4,MaLieb12,2536,871,1,winter linen padded coat oversized long coat plus size clothing linen tether robes 来自,2011-05-30 13:17:30+00:00,0,-0.05,8.71
5,5,5,5,CleaningNFT,35,11,0,_g4ng i'm surprised they also sell nfts with $usdc do they also offer,2022-04-28 17:38:17+00:00,1,0.1,0.11
6,6,6,6,trappier,440,255,0,really i thought she was low key minding her business on pbs which is where i would see her sometimes but ok another tether is playing us heavy yikes,2009-02-28 19:11:41+00:00,0,0.1,2.55
7,7,7,7,NewsCryptoBot,581,1371,0,tether (usdt) q1 trading volume plunges to $5 3 trillion in quarterly low,2016-09-10 18:40:17+00:00,0,0.0,13.71
8,8,8,8,_RealityChec,764,1834,0,tether go home,2018-11-17 14:48:07+00:00,0,0.0,18.34
9,9,9,9,Rex5103,1184,151,4,1/3 how do you photograph space needle from 800+ miles away thanks to technology it is easy all you need is an uninterrupted power supply for the camera a connector to tether the camera to the computer a camera remote app and the ability to remote desktop to the computer,2010-01-07 07:43:07+00:00,0,0.08666666666666667,1.51
10,10,10,10,mariekeboonstra,251,180,0,_babe i would not have held kasta this bullshit only ate all of my tether and made literally 0 gains,2010-01-27 14:19:56+00:00,0,0.0,1.8
11,11,11,11,Greeneyed_Roxy,28,2,0,was that a turtle balloon on a tether that floated by,2022-04-26 21:22:08+00:00,1,0.0,0.02
12,12,12,12,krypto_slay,259,133,0,xrp fly when tether topple,2018-04-30 14:08:04+00:00,0,0.8,1.33
13,13,13,13,hellfighter46,130,58,0,what inclusive history the tether history you all trying to create to make it look like you have some comparative history to freedmen you are a goofy this is not dr strange & the multi verse of madness where there is an alternate reality now run along,2022-04-12 14:58:19+00:00,1,0.15,0.58
14,14,14,14,Marijimfer,113,102,0,two old men cannot tell me what to spend my tether on i can manage to fuck it up myself perfectly,2012-03-31 18:21:41+00:00,0,0.2333333333333333,1.02
15,15,15,15,0xUwUpupu,592,328,0,tether fudders in disbeliefs,2021-09-30 17:16:10+00:00,0,0.0,3.28
16,16,16,16,ShelteredCorgi,2501,425,0,who tf is so high leveraged they got liqd on tether,2019-08-06 03:44:40+00:00,0,0.16,4.25
17,17,17,17,RIPTERRYADAVIS,2199,613,0,liquidated again on my tether short this is the last time i listen to tether truthers and deposit just another $100 into ftx,2020-08-16 16:44:31+00:00,0,0.0,6.13
18,18,18,18,ABadocsKY,634,774,0,right another tether putting their nose where it does not belong,2021-10-26 13:19:04+00:00,0,0.2857142857142857,7.74
19,19,19,19,YogasDaily,342,93,0,sounds like a good discount to spend my tether on i'm in,2013-01-05 20:44:21+00:00,0,0.7,0.93
20,20,20,20,YogasDaily,342,93,0,_ haha it is the dumbest shit i've read today maybe that is why i was not investing my tether in ape for so long,2013-01-05 20:44:21+00:00,0,-0.016666666666666666,0.93
21,21,21,21,maxxemtucker,1483,950,1,kick that tether out,2013-07-24 22:59:37+00:00,0,0.0,9.5
22,22,22,22,macessb,617,253,0,_masamune smh no appreciation for aerial charge cancel into tether,2019-01-28 02:50:17+00:00,0,0.0,2.53
23,23,23,23,AliSaw2019,36,24,0,_to _io hzm dollar a quantum leap in the world of information and communication technology the upcoming currency projects shock everyone be with hzm to fly and fly with us rocket rocket rocket rocket ٩ rocket,2019-01-27 18:48:34+00:00,0,0.8,0.24
24,24,24,24,AliSaw2019,36,24,0,_to _io hzm dollar a quantum leap in the world of information and communication technology the upcoming currency projects shock everyone be with hzm to fly and fly with us rocket rocket rocket rocket ٧ rocket,2019-01-27 18:48:34+00:00,0,0.8,0.24
25,25,25,25,AliSaw2019,36,24,0,_to _io hzm dollar a quantum leap in the world of information and communication technology the upcoming currency projects shock everyone be with hzm to fly and fly with us rocket rocket rocket rocket ١ rocket,2019-01-27 18:48:34+00:00,0,0.8,0.24
