,username,following,followers,retweetcount,text,date
0,CommonVeggies,184,160,0,"@Quinnvestments would love to engage more with these tweets, but need to go to the hardware store to get replacement parts for my bitcoin sell signal detector. lil bugger keeps overheating on me!",2021-04-06 16:02:20+00:00
1,mercadohuatulco,193,102,356,So you'll take $24 for the #bitcoin then? https://t.co/C8FmXQ4ghU,2010-01-24 01:15:50+00:00
2,kaile61643155,106,55,0,"Satoshi BTCs and the Bitcoin network are connected by validator mapping. In addition to the Satoshi Nakamoto team, is there another team in the world that can do this?

Perhaps the App hashcard generating from Bitcoin network hashrate! Waiting technique whitepaper detail! https://t.co/NRKPz789OG",2022-03-01 15:05:24+00:00
3,DeFi_educator,206,13525,1412,"#Bitcoin price is sideways because of Wall St is selling futures contract in a macro risk-off trade. Meanwhile institutional money is scooping spot BTC at peak rates and moving to cold storage.

It's times like these I remember the Q4 2020 supply shock squeeze. https://t.co/wLPl4qGjTQ",2021-03-23 15:03:15+00:00
4,Aref69855986,97,15,1623,"If #Bitcoin  doesn't reach $50,000 by May 20th, I will give $2,500 to one lucky follower! 👀🚀 

LIKE ❤️ &amp; FOLLOW 🚀 TO ENTER!!!",2019-02-22 22:30:10+00:00
5,GhostLimburg3rt,4577,2515,270,"So you mean to tell me I can send money from #Centrafrique🇨🇫 to my bro in #ElSalvador🇸🇻, without asking France or anyone for permission; and with Zero fees? 

Yes; #Bitcoin with #LightningNetwork fixes this! 😁 https://t.co/cg6FGLuaac",2021-11-23 12:25:34+00:00
6,Urmylife021414,18,1,11401,"Explore Phemex Universe🌍 and visit planet Bitcoin, Ethereum, Sand, and Doge 🤩 to collect your very own Citizen Phemex card.🎴 

Grab your card and earn bonuses now🔽 
https://t.co/6ZQKNyGxBz

#PhemexUniverse #Blockchain #Giveaway #PhemexCitizen #NFTs #Games #EarnBonus #phemex https://t.co/WiHx0Ecaw7",2020-07-30 01:23:10+00:00
7,stevieinsydney,1491,425,917,"Charlie Munger says bitcoin is “evil.”

This coming from a guy who financed the drivers of rampant obesity and diabetes in American society. 

I’ll take math and software over processed sugar.",2010-06-29 07:50:04+00:00
8,zedbabycatcoin,894,191,11,Boys sell bitcoin instead of going to therapy.,2013-08-02 17:24:28+00:00
9,MarkQuarter,5000,610,1,"@wlwatts What are actually ""stupid"" &amp; ""evil"" are the things $BTC &amp; $BCH, Bitcoin &amp; Bitcoin cash works to improve

Human rights, anti-slavery, anti-poverty, anti-homelessness, anti-food-insecurity:  Anything philanthropists want to apply the tech to, including better curative medicine",2015-07-16 04:46:29+00:00
10,mercadohuatulco,193,102,829,"Warren Buffett just said he wouldn’t buy all the bitcoin in the world for $25

This is because he does not know how to turn on a computer",2010-01-24 01:15:50+00:00
11,hermaion2014,587,52,924,It’s time for #Bitcoin 💪 https://t.co/HMUsSqpmXQ,2022-04-11 02:07:05+00:00
12,tienle06364717,344,74,1623,"If #Bitcoin  doesn't reach $50,000 by May 20th, I will give $2,500 to one lucky follower! 👀🚀 

LIKE ❤️ &amp; FOLLOW 🚀 TO ENTER!!!",2021-12-23 23:24:36+00:00
13,SimpleC9000,58,7,0,"SimpleC found #bitcoin in a Blue vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/81DDy0uhQT #cryptocurrency #365955 https://t.co/JsReEAnQCE",2014-11-08 04:12:37+00:00
14,heymakio,151,233,74,"The entire #Crypto market in aggregate has the same market cap as #Microsoft. 

This adoption curve is just getting started. 

You will be rewarded for your patience. #Bitcoin",2019-10-01 14:54:11+00:00
15,MARIOAL71086360,404,34,56,"The original #Bitcoin Pizza transaction: 

2010-05-22, 20:16. 
10,000 #Bitcoin for two pizzas. 

Value then ~ $40.
Value now ~ $380,000,000. https://t.co/RFU451BPRd",2012-05-07 03:51:25+00:00
16,mercadohuatulco,193,102,917,"Charlie Munger says bitcoin is “evil.”

This coming from a guy who financed the drivers of rampant obesity and diabetes in American society. 

I’ll take math and software over processed sugar.",2010-01-24 01:15:50+00:00
17,CamillaVi3,73,18,222,"Sell pressure will run out eventually, and once it does, #Bitcoin moves fast!",2022-02-19 15:17:45+00:00
18,ThedarkSide2103,109,239,0,@Minecraft #Bitcoin  Genesis Block !,2020-04-28 18:26:37+00:00
19,hailawho,4937,1358,3,"@mikealfred I cannot imagine a CEO being successful in 2022 without an open mind to learning/change. Our world is evolving quickly, and the best leaders are always learning while being humble. 📈 This closed-mind perspective makes no sense to me. (Disclosure: I’m long #Bitcoin)",2012-07-10 22:08:33+00:00
20,nj_tacp256,228,159,689,".

         🟧
         🟧
         🟧
         🟧
         🟧
         🟧
         🟧        　　
         🟧　        
         🟧　        
         🟧　                     🟧　
        gold                     bitcoin 
   $12 trillion          $0.7 trillion",2015-10-12 23:00:08+00:00
21,Tom_pc89,140,40,4,"@TheSecretCrypto @AuzsomeAustin @BTCVantage @AuzsomeAustin Maybe you wanna check BTC VANTAGE ($Vantage). It Will give you bitcoin reward as holder and 'll chance to win a weekly Lottery as Etherium for reward. And my opinion, $Vantage holder have more beneficial than other reward crypto 

@BTCVantage",2021-05-20 17:35:57+00:00
22,458Aman,303,21,0,@Bitcoin #cats coming,2012-02-06 04:36:29+00:00
23,uzakdenizler,1225,160,1925,So I hear Warren Buffett &amp; Charlie Munger are marketing #Bitcoin again...,2012-06-20 23:24:46+00:00
24,gmelchhans,113,27,650,"The world can not afford the cost of war. Everyone feels the pain. #Peace talks must prevail.

#StopPutin #inflation #cryptocurrency #Bitcoin #StandUpForUkraine  @coinkit_ com 50 600 btc #WorldPeace https://t.co/arIEhnUTFm",2021-02-19 02:26:10+00:00
25,mercadohuatulco,193,102,1925,So I hear Warren Buffett &amp; Charlie Munger are marketing #Bitcoin again...,2010-01-24 01:15:50+00:00
26,PrincekinG945,168,62,407,"FUN FACT: A user sold a #crypto domain for 10 #Bitcoin ($380,000), which they purchased for $16 in 2017.",2021-10-19 00:07:06+00:00
27,scott_gevertz,58,6,0,@jonkotje @AltcoinDailyio Will be way cheaper below 2c when Bitcoin dumps to 25k over the next 2 months,2021-12-10 09:51:33+00:00
28,FrorexI,375,38,458,"In this crazy world, #Bitcoin is just doing its thing every ten minutes. https://t.co/ymgQ8QMjiW",2021-08-12 04:42:07+00:00
29,aditson1989,319,51,122,"@zengjiajun_eth Bitcoin, not crypto.

Like:

A: ""Oh I'm really into bitcoins, I love all the decentralized governance and DAOs happening there""
B: ""Which bitcoin is your favorite?""
A: ""Oh I like Solana, also Tezos, the founder is a good guy, French, believes in anarchocapitalist stuff""",2017-04-01 19:37:53+00:00
30,HODL_ST,275,21,0,@saylor stop selling bitcoin https://t.co/EajQFu5TZ2,2021-04-14 22:23:30+00:00
31,MaryL1964,4477,4365,6064,"Alex Jones is currently negotiating cooperation with the DOJ regarding January 6.

An anonymous donor just gave Jones $1 million worth of Bitcoin.

Who is the donor?  Is this witness tampering or obstruction of justice?",2011-02-15 01:05:34+00:00
32,BVBTC,2305,46700,1,"I know that gold is vastly inferior to Bitcoin, but I can’t help loving how it looks. Probably have to wait a bit longer, but I’m very excited for it to lose its monetary premium so I can use the real stuff to adorn Bitcoin art.🤷🏻‍♂️ https://t.co/y3nQcTTVLt",2018-02-04 10:03:53+00:00
33,SteveMottaz,130,10,1623,"If #Bitcoin  doesn't reach $50,000 by May 20th, I will give $2,500 to one lucky follower! 👀🚀 

LIKE ❤️ &amp; FOLLOW 🚀 TO ENTER!!!",2021-05-01 06:53:59+00:00
34,Phawat_l3om,380,126,1925,So I hear Warren Buffett &amp; Charlie Munger are marketing #Bitcoin again...,2018-10-20 15:42:46+00:00
35,0xNuri1,1395,97,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-09-11 01:26:49+00:00
36,EboOdfarRid,507,91,0,"$QNT Hollllllld to get easy money 💵💰

#Crypto #Bitcoin
#QNT #binance #كريبتو https://t.co/gxsjFAiScC",2017-08-23 08:08:43+00:00
37,Ink_217,625,128,182,"#XRPHolders  we know whats up. 
The harvest is going to be legendary! 
🦊

#ripple #xrp #bitcoin #Ethereum #XRPArmy https://t.co/fDsawAavBE",2021-05-12 14:07:43+00:00
38,TudorCv,749,767,122,"@zengjiajun_eth Bitcoin, not crypto.

Like:

A: ""Oh I'm really into bitcoins, I love all the decentralized governance and DAOs happening there""
B: ""Which bitcoin is your favorite?""
A: ""Oh I like Solana, also Tezos, the founder is a good guy, French, believes in anarchocapitalist stuff""",2020-12-30 20:27:57+00:00
39,thesizeofURpie,67,8,0,#Bitcoin is like a rock. Fiat is like grass. https://t.co/5EsuIrZosP,2022-02-28 07:59:24+00:00
40,Americankube,166,7,0,@BTC_Archive Buy Bitcoin for 401k and go homeless,2022-03-26 05:25:36+00:00
41,PlateLicker_21m,2532,3899,0,The pleb energy is strong. #Bitcoin,2017-11-19 22:15:26+00:00
42,Villen617Bos,290,127,0,@elonmusk any comment on Buffett and #Bitcoin,2017-01-02 23:52:43+00:00
43,1_btc,1310,807,30,"✊ Hold $STX
📈 Earn #Bitcoin

✅ It’s that simple
❤️ If you’re already Stacking $STX",2014-06-06 05:37:09+00:00
44,Bitcoin8News,8,5143,0,"The $BTC price is at $37,639.26 right now.
🔴 Compared to the last tweet, the price has dropped by $32.58 (0.09%).
🔴 In the last 24 hours the price has dropped by $954.04 (2.47%).

#Bitcoin #BTC https://t.co/cafT8P8Y1O",2021-01-09 15:26:06+00:00
45,SKALIAJAM99,202,21,125,"Summary of Alts coin 

1. BITCOIN pump, Alts dump
2. BITCOIN dump, Alts dump
3. BITCOIN consolidates, Alts flat
4. BITCOIN recover, Alts dump",2017-12-16 01:23:08+00:00
46,TambouraSeydou3,100,8,6,"#bitcoin has been trading sideways for a long time, there will be a big movement in May. FED's interest rate decision on the 4th of May is one of the important news to follow. https://t.co/jGlwezQT4K",2021-06-24 16:39:19+00:00
47,sad_riego,1792,2460,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-06-16 05:12:31+00:00
48,lockstockpips,19,4492,5,#bitcoin dragging everything down as expected. The usual caution is advised. Still waiting patiently for for a reset. #crypto,2013-01-14 23:16:39+00:00
49,aYtuarte43,745,442,0,"FML $SHIB #crypto crypto my god sooooooooooo much “NEWS”
Literally starting a new job this month
Allllll these “fortune favors the bold” brain washing BS messages! 🤦🏻‍♂️
Shit never changes @NFL @cryptocom @NBA @RobinhoodApp #Bitcoin #crypto
It was fun while it lasted 😞
🌊#wipeout",2017-02-22 03:51:29+00:00
50,orions06,37,31,44,Will #Bitcoin hold $36‘000?,2009-06-29 11:47:56+00:00
51,armando7usa,1219,1147,389,".@BradSherman are you refusing to talk &amp; listen to our Ethiopian &amp; Eritrean community because you are being lobbied by TPLF? 

And are you anti #Bitcoin because you get money from big banks &amp; pawn shops? 

This is why we need campaign finance reform &amp; term limits!",2009-07-20 23:29:50+00:00
52,kenechip,446,98,1623,"If #Bitcoin  doesn't reach $50,000 by May 20th, I will give $2,500 to one lucky follower! 👀🚀 

LIKE ❤️ &amp; FOLLOW 🚀 TO ENTER!!!",2010-10-18 13:35:11+00:00
53,askor202010,1613,376,650,"The world can not afford the cost of war. Everyone feels the pain. #Peace talks must prevail.

#StopPutin #inflation #cryptocurrency #Bitcoin #StandUpForUkraine  @coinkit_ com 50 600 btc #WorldPeace https://t.co/arIEhnUTFm",2018-11-24 19:12:07+00:00
54,MrBitcoinCanada,484,856,1623,"If #Bitcoin  doesn't reach $50,000 by May 20th, I will give $2,500 to one lucky follower! 👀🚀 

LIKE ❤️ &amp; FOLLOW 🚀 TO ENTER!!!",2011-12-25 20:08:42+00:00
55,JrDolotina,2933,749,698,"Why is $XRP so hated and why is there so much misinformation? Time for a 🧵:

Everything started in 2013. XRP had started trading, the technology had many promises, it had the first ever DEX where you could even trade and move BTC in seconds. Then Bitcoin maximalists came in. 1/8",2019-10-23 23:42:33+00:00
56,Zerpillion,244,1033,1,"@saylor I hear you are losing shit ton by hour again.

Psssst.
Keep dimpin that shitcoin
#Bitcoin 
🥴",2018-01-07 06:17:02+00:00
57,Gholacrypto,334,22,0,Do not fall into despair for Nature loves courage. #Bitcoin,2022-03-06 15:24:40+00:00
58,KHMakerD,4999,2295,6064,"Alex Jones is currently negotiating cooperation with the DOJ regarding January 6.

An anonymous donor just gave Jones $1 million worth of Bitcoin.

Who is the donor?  Is this witness tampering or obstruction of justice?",2014-09-26 16:51:26+00:00
59,AndrewLetchfor1,167,62,458,"In this crazy world, #Bitcoin is just doing its thing every ten minutes. https://t.co/ymgQ8QMjiW",2022-02-05 22:14:28+00:00
60,247robby,618,1237,0,"[1349] #Almere This day ( 07/11/'21 ) I've #transfered this #bitcoin #sathosi's to my (#BTC) account , and getting #interest for it. https://t.co/GRob4uhYWI https://t.co/TXkQnffx6J",2010-01-15 15:57:04+00:00
61,RealKeithWeiner,857,5260,1,"Bitcoin fixes the problem that who does not toil shall not eat.

And by ""fixes"", I mean promises this. But of course cannot sustain it. https://t.co/DcBkN9f8rv",2010-07-28 02:18:40+00:00
62,AmprosGr,202,135,1,"Money is rotating into #Bitcoin &amp; stables extremely swiftly whilst you desperately clinge onto 'good projects'.

Even if we do get one last push it will be your lucky charm to sell the trash.

Not even the tradfi low/medcaps are surviving, what makes you think your shitcoin will?",2021-10-14 19:35:37+00:00
63,jones_noahjones,20,3,79,When do you think #Bitcoin will hit $2T in market capitalization?,2022-04-08 22:19:06+00:00
64,SwCPoker,84,2295,3,"The Bad Beat Jackpot is now over 3.225 #Bitcoin  📈  

Jackpot tables starting as low as 10/20 blinds

Play now on Windows, Mac, Android or Browser clients 💻 🍎 📱  ⤵️

🌐  https://t.co/KHUUR7OXkZ https://t.co/0nBE2Q6aO1",2014-11-04 07:30:35+00:00
65,IamRD01,2809,1689,6,"What song would you sing to the markets so they come up again?

#Bitcoin #Cryptos #NestFi https://t.co/OSZGT289Yw",2017-04-09 15:43:31+00:00
66,nj_tacp256,228,159,924,It’s time for #Bitcoin 💪 https://t.co/HMUsSqpmXQ,2015-10-12 23:00:08+00:00
67,nicalicious_,133,179,0,“Only Zelle cash bitcoin and ethrium” do I look like a robot,2016-07-25 05:58:36+00:00
68,Wesley27111985,191,24,0,#bitcoin #bears be like https://t.co/VBVuyZ7CzR,2017-11-04 08:05:06+00:00
69,AWahllos,2634,1728,1,"will we ever see ath again? 
#Bitcoin #crypto",2021-05-01 15:05:29+00:00
70,ParabolicCrypt1,509,374,161,"#Bitcoin looks like it will be making a double bottom on the monthly chart. The monthly candle closes tonight 🔥🔥

May will possibly be a VERY BULLISH month 🚀🚀 https://t.co/s5yZ1GUXwr",2021-05-11 01:36:40+00:00
71,amislwplmacd,1049,202,823,"New Giveaway 
Total Reward: $1000 Worth of $GHD $APE $GMT $BNB 
500 people Lock Winners 🏆
Join now 
✅ Retweet twitter + 📌 posts 
✅ Tag 5 friends + comment 
✅  Summit BEP-20 GHD wallet address 

#Giveaway #Giftedhands2022 #giftedhands #walletGiftedhands #Bitcoin",2010-12-20 23:02:40+00:00
72,jimbo_cramer,321,34,829,"Warren Buffett just said he wouldn’t buy all the bitcoin in the world for $25

This is because he does not know how to turn on a computer",2022-04-26 11:05:44+00:00
73,celengqn,3484,888,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-12-25 07:05:59+00:00
74,BaxterMystery,83,307,3918,But bitcoin energy use is a problem 🤔 https://t.co/UBCLlbIJVp,2012-08-15 02:17:09+00:00
75,goldenstate11,4984,1153,35,"It's time for another GIVEAWAY. 🔥🚀👍😀

Dreams_NFT 1:1 'Ancient Temple' could be yours. 
Like. Retweet. Eth Add. Tag frens.

#NFTGiveaway #NFTCommunity #nftcollector #NFTGiveaways #Bitcoin #Ethereum https://t.co/TowwpKVTuA",2011-06-21 09:55:40+00:00
76,ObeseBallerina,319,180,366,I couldn’t give any less fucks what Charlie Munger thinks of Bitcoin.,2022-03-21 02:27:03+00:00
77,VeeKnowsCryptos,278,455,0,"tokenviz: 🌕 Biggest #Cryptos 1-Day Volume

#Bitcoin: $38,250.43 (−0.93%)
#ETH: $2,781.22 (−1.35%)
$BCH: $282.2 (−4.40%)
$LUNA: $78.36 (−8.21%)
#XRP: $0.6053 (−0.98%)

👉 Follow to bring #cryptocurrencies dashboard right to your feed. https://t.co/ktG7Oy54Y2",2021-11-21 17:36:52+00:00
78,BitcoinPriced,0,255,0,"Current  #Bitcoin Price: $37,755.80 📉",2020-12-13 05:58:23+00:00
79,MahaRaja_77,4274,486,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-01-02 10:34:58+00:00
80,BitcoinObserve1,327,22,0,"@TuurDemeester Was sad how he repeatedly defended Fraud Fargo but yells at Bitcoin. 

Warren is a mega-liberal too so not surprised",2022-01-29 03:02:52+00:00
81,RajeshKarwa81,217,461,80,"#Bitcoin dominance broke out of this rising wedge 💪💪

This is very good for #Altcoins 🔥🔥

(FYI: I posted this chart again because of wrong title. This is the #Bitcoin dominance chart) https://t.co/qb21VGhGXM",2013-10-27 11:34:26+00:00
82,RixxTech,51,395,0,4 hour top movers report #blockchain #crypto #cryptocurrency #kripto #kriptopara #trading #rixx #binance #bnb #bitcoin #btc #ethereum #eth https://t.co/vDbtkcQsrj,2018-05-19 15:03:18+00:00
83,dustinwatchman,2299,2267,0,"3 minutes apart
1 call for #Bitcoin go up
1 call for #BTC go down

What are you all feeling?
Up or down? https://t.co/LAfwjvI4zu",2015-07-27 00:08:34+00:00
84,david_briane,216,159,194,"#BITCOIN DON'T PANIC WEAK HANDS. PART II.

#BTC #CRYPTO https://t.co/IjP04optrO",2021-02-25 11:35:53+00:00
85,edson_cal,77,16,101,"#BITCOIN  HAS TO HIT $50,000 WITHIN THIS WEEK OR I WILL GIVE $500 TO ONE LUCKY FOLLOWER 🚨

Like &amp; Retweet ❤️",2021-02-23 13:16:06+00:00
86,TaotaoSalupa,799,344,0,@TristanSnell No. It’s just giving him bitcoin smh https://t.co/1yB38SQd8T,2020-07-07 17:46:57+00:00
87,Sumarusk,3356,166,192,"#Giveaway 
   
   1️⃣ #ETH Ağında #NFT
   2️⃣ 100.000 #shiba hediye

   🎁 To win 🎗👇

   1️⃣ follow @zupot267
   2️⃣ like + RT
   3️⃣ Tag 3 Friends

    48⏰
#bitcoin #btc #nftgiveaway #eth #nft https://t.co/Eqw3SVuZBG",2022-03-09 19:22:56+00:00
88,leovillani17,961,171,21,"NFT Giveaway 🚀🚀

To enter 
- Follow @PeaceRebelsNFT &amp; @nftdude_ 👍
- RT @PeaceRebelsNFT &amp; @nftdude_  pin tweet (required) 
- Tag 2 friends ✅

#NFT #NFTGiveaway #Giweaway #NFTCollection #NFTGiveaways #NFTCommumity #BTC   #Bitcoin https://t.co/vZzy956xos",2021-10-27 01:20:07+00:00
89,hermaion2014,587,52,1925,So I hear Warren Buffett &amp; Charlie Munger are marketing #Bitcoin again...,2022-04-11 02:07:05+00:00
90,ciplat10,4996,210,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-04-11 05:29:02+00:00
91,DorisLytton,17,4,2,"GLOBAL TIMES: ""China to shut down over 90% of its Bitcoin mining capacity after local bans"" (DSP:I CAN’T WAIT 4 THE QLA SEMINAR IN A FEW DAYS! I KNOW WE HAVE A FEW CRYPTO DEVOTEES ATTENDING, I CAN BEAT! OF COURSE, I'M HAPPY THEY WERE ABLE TO PAY 4 THE SEMINAR WID BITFVCK - LOL!) https://t.co/18qVGHvvTn",2022-04-16 07:18:22+00:00
92,Lumenaddy,22,543,5,"This is the #recession/bear market indicator I use. It is (almost) never wrong. When the indicator &gt; 2%, alarm bells ring.  I'll let you know when that happens.  Also, they'll blame the next recession on #bitcoin/#crypto. https://t.co/agKuB74Lnv",2018-02-14 03:41:59+00:00
93,DamelisMorales2,1,0,0,"This zesty faucet from @_bitcoiner is making me tweet this to claim my free Lightning sats. ⚡

@boltcoiner unlock me 2782492f-3202-4e9c-84de-81e8290d08fe

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/wSzNcFoIrL",2022-04-22 16:26:13+00:00
94,aliasde7,889,7,683,"$10000 in #Bitcoin  among the first 3000 people who follow and retweet! 

Drop your wallets https://t.co/kbY44z0nUv",2016-02-06 13:21:49+00:00
95,SymbianSyMoh,998,26754,0,"Don't care much about usability, want more security? Yeah why not. Your fingerprint is your unique signature!

#Bitcoin #cryptotwitter ♥️ https://t.co/tbGemLNoP0",2010-11-25 17:39:21+00:00
96,auspiciousnash,1983,361,4417,"$150 in 36 hours 🐲🐉

-RT + Follow @Verox_AICrypto + RT 📌

$ape $creek $btc $btcusd #nft #nfts #upcoming $jewel $gst $ftm $bnb $eth #crypto #bitcoin $nexo #blockchain #investment #coin #100x #10x $looks $hex #alt #altcoin #hot #next #invest #buy #long $fil $xmr",2021-06-13 05:24:29+00:00
97,BhagwatThorat3,1026,30,155,#Bitcoin is always a good idea!😉 https://t.co/Y3RMzUGBoj,2020-09-08 00:53:56+00:00
98,alwaysat420,368,78,221,"JUST IN: #Bitcoin has fallen to $38,000.",2016-02-21 21:47:38+00:00
