,username,following,followers,retweetcount,text,date
0,CryptoKamado_,274,269,37,Jim Cramer said he was expecting a 40% pump from Ethereum and you still decided to remain bullish?,2018-01-06 07:24:56+00:00
1,Ororo_Pride,4716,4370,18,"Interesting also the story of Vocdoni told in his personal website, a project launched by hackers and activists inspired by the referendum (find a way to establish a way of voting out of the control of the government), based on Ethereum tech ... 28/
https://t.co/VDUSH7LtF7 https://t.co/QvIt71Bapm",2012-04-26 13:32:57+00:00
2,judekickit,45,40,284,"FUN FACT: These Nike NFT sneakers sold for 45 #Ethereum ($125,000 USD). https://t.co/leTW5Mxd7M",2014-07-17 05:32:07+00:00
3,qwerdyyy06,1305,132,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2022-02-24 04:04:49+00:00
4,Urmylife021414,18,1,11400,"Explore Phemex Universe🌍 and visit planet Bitcoin, Ethereum, Sand, and Doge 🤩 to collect your very own Citizen Phemex card.🎴 

Grab your card and earn bonuses now🔽 
https://t.co/6ZQKNyGxBz

#PhemexUniverse #Blockchain #Giveaway #PhemexCitizen #NFTs #Games #EarnBonus #phemex https://t.co/WiHx0Ecaw7",2020-07-30 01:23:10+00:00
5,HexPLSFortheWin,1228,864,10,"🚨🚨 15 MINUTES LEFT TO MINT $MAXI! 🚨🚨

#Maximus #MAXI #Gladiators #HEX $HEX #Hexicans #TeamWin #5555Club #Hedron #PulseChain #Ethereum #ERC20 #ETH",2022-01-20 13:51:11+00:00
6,juniorDc94,613,125,1324,"🧡 #Giveaway 🧡

Prizes :
🏆 50$ ~ $ETH
🏆 5x WL

To Win
1️⃣Follow ⁦@LuckyTimeWalker⁩ &amp; @TikiTuka_
2️⃣RT + LIKE
3️⃣Tag a friend

6 Winners.
 
24h #ethereum #NFTGiveaway #NFT https://t.co/H1N9GebL19",2022-04-25 19:14:59+00:00
7,M314222,1542,36,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2022-03-27 20:09:09+00:00
8,TradingroomO,136,67,37,Jim Cramer said he was expecting a 40% pump from Ethereum and you still decided to remain bullish?,2021-02-06 17:13:19+00:00
9,Taeyongjasmine,2137,60,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2022-04-17 13:49:35+00:00
10,ShillaWhale,449,342,0,Everything is down! Sell before the end of crypto! #crypto #cryptocurrency #defi #gems #100xgems #ethereum #eth #shib #bone #leash #fioki #inu Follow #shillerwhale #nftgiveaway #cryptonews!https://t.co/gcpKPGxRL3,2021-11-22 08:58:45+00:00
11,Ink_217,625,128,182,"#XRPHolders  we know whats up. 
The harvest is going to be legendary! 
🦊

#ripple #xrp #bitcoin #Ethereum #XRPArmy https://t.co/fDsawAavBE",2021-05-12 14:07:43+00:00
12,bwikwearchive,4567,233,0,@Ethereum_06 done,2020-11-12 12:57:12+00:00
13,mehdi1400doroud,36,58,1,"@WeekInEthNews @ethereum @parithosh_j @optimismPBC @ultrasoundmoney @ethereum 
@ethereum classic 
@polkadot
@polka classic 
❣💖💝💙💌💚💕💜💟💟🤍💋💘❤💓💙💙💖💖❣💪💪💪💪💝🤎🤎💌💚💘💜💜🤍💋❤❤💓💗💖❣💔💔💞💞💗🧡🧡💓💓💙💖💖💝💓❤💕💘💋💋❤💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪",2021-10-09 23:31:28+00:00
14,xuzhiho66705484,3015,1306,2,"Every perseverance is the accumulation of success. As long as you believe in yourself, you will always encounter surprises; every life has its own trajectory, remember to affirm yourself, and don’t give up easily!#Ethereum #BTC #AirportTwitter #BNB https://t.co/W3mzLTrxnN",2022-03-03 23:32:35+00:00
15,Ethereum8News,5,1156,0,"The $ETH price is at $2,727.11 right now.
🟢 Compared to the last tweet, the price has increased by $3.33 (0.12%).
🔴 In the last 24 hours the price has dropped by $89.81 (3.19%).

#Ethereum #ETH https://t.co/5zzgTIc8y9",2021-11-29 21:04:22+00:00
16,soleilwins,911,104,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2022-01-10 06:46:37+00:00
17,BlartNft,5,6,2,A serious leopard now available in https://t.co/B3gTHY78DZ  #leopardo #leopard #serious #nft #nftcollectors #nfts #nftartist #nftcollectibles #art #artista #artistry #arte #artdigitalgallery #artedigital #NFT #NFTs #nftart #digitalart #nftbinance #ethereum #eth #animal #animales https://t.co/AnkANQnpdb,2022-03-16 02:41:44+00:00
18,winscityyx,2967,35,877,"🦉 @okayowls NFT Giveaway 🦉

Giving away 2x NFTs for @okayowls 
 
To enter: 
- Follow @0xRuz &amp; @okayowls 
- Like &amp; RT
- Tag 3 friends  

Winners picked in 24 hours 

#NFT #NFTCommunity #NFTGiveaway #NFTPromoter #ETH #NFTPromo #Ethereum #AD https://t.co/latUmZ73Ox",2022-02-06 19:56:58+00:00
19,maxcao2204,1520,569,0,"Check out this item on OpenSea https://t.co/ufr5y5GyJZ via @opensea 
#nft #NFTs #NFTCommunity #NFTartist #NFTProject #NFTdrop #OpenSeaNFT #OpenSeaCommunity #Ethereum #ETH #collectibles  #CollectorsHelpingCollectors #random #landscape  #farm #daklak #vietnam #tribe #ethnic",2021-03-15 09:28:14+00:00
20,Nichole55536590,2170,766,0,"@_NftCollectors @cybotz_nft Rat stuck in jar 
0.004 Ethereum 
https://t.co/BLWbFi6VjY https://t.co/RRyQdbJUH3",2022-03-13 17:00:02+00:00
21,Nunikvico_02,4999,785,2577,"Pets Crossing, a sandbox metaverse game featuring paradise island where your pets live a blissful life.

Win 5 WL spot!

Follow
Retweet
Like
Reply

#NFT #NFTs  #Ethereum #NFTCommunity #NFTGaming #NFTdrop #NFTGiveaways #Crypto #Ether #DAO  #GameFi #gamers #Metaverse https://t.co/VpVIbPc2YY",2021-04-02 14:10:50+00:00
22,thetruegaylords,218,64,93,"Freeroll tourney with huge prizes 💸 and a twitter spaces starting at 6:30pm EST!

We’ll be sharing our vision for creating world’s first smart contract implemented no limit hold ‘em on  Ethereum blockchain!

Poker for NFT holders at 7pm EST 🔥

Join us https://t.co/BlZNLch2QS https://t.co/RQqSuG3pdi",2016-02-07 12:49:08+00:00
