,username,following,followers,retweetcount,text,date
0,mercadohuatulco,193,102,0,@davidgokhshtein i already spent all of the tether i could so it doesn't really help,2010-01-24 01:15:50+00:00
1,PolisanoJ,9396,9542,2171,"Lost💔
🥀without you

🎼Music 🎥Video🍿

Featuring💫
“Tether me” by Galleaux
 from✨
 Lucifer - Season 5

👇Click the YouTube link👇
https://t.co/HbcbgT3vYP 

#Cactustweets_ 🌵 #Lucifer #RockstarGames @galleauxmusic @RockstarGames https://t.co/bgwRWtChPw",2019-01-18 03:57:49+00:00
2,TickerTop,49,812,1,"1: Bitcoin price is $37716.88 (-1.59% 1h)
2: Ethereum price is $2734.94 (-1.99% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: BNB price is $378.42 (-2.21% 1h)
5: USD Coin price is $1.00 (-0.01% 1h)
12: Dogecoin price is $0.13 (-2.36% 1h)",2018-02-06 13:13:35+00:00
3,tate0606,80,95,53,"We need to educate younger generations on #bitcoin stacking and protection of private wealth.
At #tether we're planning important investments on this matter. More details to come in coming weeks.",2021-12-31 06:35:02+00:00
4,MaLieb12,2536,871,1,"Winter Linen padded coat, oversized long coat, Plus Size Clothing, linen Tether robes https://t.co/uI8d1EW1DO 来自 @Etsy",2011-05-30 13:17:30+00:00
5,CleaningNFT,35,11,0,@ape_g4ng I’m surprised they also sell NFTs with $USDC. Do they also offer #Tether?,2022-04-28 17:38:17+00:00
6,trappier,440,255,0,@Pauline98476699 Really? I thought she was low-key minding her business on pbs which is where I would see her sometimes but ok. Another tether  is playing us heavy. Yikes.,2009-02-28 19:11:41+00:00
7,NewsCryptoBot,581,1371,0,Tether (USDT) Q1 Trading Volume Plunges To $5.3 Trillion In Quarterly Low https://t.co/sSmhgCsM37,2016-09-10 18:40:17+00:00
8,_RealityChec,764,1834,0,Tether go home https://t.co/10boop72Ys,2018-11-17 14:48:07+00:00
9,Rex5103,1184,151,4,"1/3 - How do you photograph Space Needle from 8000+ miles away? Thanks to technology, it’s easy. All you need is an uninterrupted power supply for the camera, a connector to tether the camera to the computer, a camera remote app, and the ability to Remote Desktop to the computer.",2010-01-07 07:43:07+00:00
